Header,age,gender,education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mothers_specific,fathers_specific,children_specific
Response_1,22,N/A,15,stress,work,overworking_with_no_breaks,stress_and_anxity,Online_shopping,Smart_phones,Online_resources,Lack_of_support,financial_stress,academic_pressure
Response_2,21,N/A,14,social media,school,too_much_school_work,Lacking_social_interaction,Steaming_services,remote_work,Digital_assets,Guilt_and_worry,work_demands,work_pressure
Response_3,22,N/A,15,loneliness,work,PTSD_and_depression,stress_and_anxity,E-books,Smart_phones,Online_resources,Self_doubt,financial_stress,Lack_of_physical_activity
Response_4,21,N/A,14,stress,school,working_too_hard,stress_and_anxity,Social_media,Smart_phones,Electric_vehicles,Lack_of_sleep,work_balance,work_pressure
Response_5,20,N/A,13,school,stress,financial_problems,Lacking_social_interaction,Youtube_videos,online_shopping,Online_resources,Work_balance,financial_stress,over_exposure_to_technology
Response_6,22,N/A,16,genetics,trauma,being_alone,stress_and_anxity,online_education,social_media,Cloud_computing,Guilt_and_worry,work_balance,Cyberbullying
Response_7,23,N/A,16,substance abuse,school,addiction_and_withdrawl,Lacking_social_interaction,internet_connection,Streaming_services,Online_gaming,Lack_of_sleep,work_balance,Pressure_to_succeed
Response_8,19,N/A,12,social media,school,social_isolation,Lacking_social_interaction,Social_media,Streaming_services,Delivery_services,Lonliness,work_demands,Social_isolation
Response_9,20,N/A,13,stress,genetics,A_lot_of_school_work,stress_and_anxity,Online_shopping,remote_work,Online_gaming,Lonliness,work_balance,academic_pressure
Response_10,21,N/A,14,work,school,too_much_school_work,stress_and_anxity,Social_media,Youtube,Online_gaming,Lack_of_sleep,financial_stress,work_pressure
